Title,Year,Genre,Director,Rating,Actor_IDs,IMDB_ID,Poster_URL
ante subiungo vito,1995,spell,Jermaine DuBuque,6.4,"actor_0f8092f9-79c4-43b8-8168-3ad1657ffebe, actor_779bd35f-aa56-4f30-94df-f732b7b48619, actor_3ec69b78-47ab-4e28-a453-95994b861627",tt3703661,https://loremflickr.com/640/480
vesco apto vorax,1991,divalent,Sue Hilll,5.7,"actor_37f2e0b8-c1e5-4f07-9a49-3013e4c59628, actor_932514ef-eb82-44b4-a236-6c53370fea60, actor_5e0d9c47-21da-4705-9015-3544cc92be00",tt1160937,https://loremflickr.com/640/480
deserunt carpo conicio,1934,bough,Olive Collier,2.6,"actor_76da61bf-bc79-4776-9c0a-89d94b6f4bc6, actor_a470b1b7-921c-4271-9af0-65bf1e1ddef3, actor_b504027b-a862-432e-ab62-6b52f87a8c2d",tt8875690,https://loremflickr.com/640/480
amita iure culpa,2013,matchmaker,Israel Wolff,9.6,"actor_c289e3ad-bbc1-45ee-86e2-79e158760487, actor_a746a2a5-3779-4b65-9864-611b7fd0af9c, actor_d4dc298f-5203-49df-81e1-05443226af18",tt3935702,https://loremflickr.com/640/480
amissio conatus adaugeo,1925,athlete,Jeffrey Oberbrunner,9.9,"actor_91fef0e3-92b4-47e3-bb4b-035a90448ecf, actor_8a009e50-3c82-4386-89b8-5d432afc66bd, actor_5296c887-cfe4-4477-9acf-a17b59c88744",tt9278703,https://loremflickr.com/640/480
excepturi vindico abscido,1967,proportion,Jamie Schroeder,7.4,"actor_ab55adb7-aee4-4157-aa20-678be125be4d, actor_d88a9c35-7817-4c07-b75e-09c884c5665a, actor_3ce65112-81b1-46f2-b602-0ccc8effc708",tt7130732,https://loremflickr.com/640/480
amiculum articulus tricesimus,1952,charger,Mr. Kent Mayer,3.3,"actor_7b5ac5e9-5468-47bc-a9bf-68fbfca6aff0, actor_58efbbe2-3bcc-4adc-956b-1665b946cd0c, actor_2325f722-9bc7-4b86-9f56-915460895952",tt1035921,https://loremflickr.com/640/480
arca volva impedit,1971,scam,Kristie Runte,3.4,"actor_b6bd91e5-9312-4a78-805e-8ff0ca13a606, actor_4cdc6181-ab93-46bf-a183-ccc6ef49e52c, actor_08e71051-5a49-4e62-a991-1464e768a31d",tt4193712,https://loremflickr.com/640/480
alter amiculum tripudio,1972,offer,Brandy Daniel,1.7,"actor_6740ee36-ef98-4b17-a505-a1955c35d1d7, actor_80eb7e18-a033-440e-b64b-b21ce1c862c2, actor_b3f4ba57-1787-46d3-bdec-617ae099d607",tt4235483,https://loremflickr.com/640/480
tamdiu arbitro ad,1930,connection,Derek Blick,9.2,"actor_0bb5faeb-f8d9-4f9c-88dc-c27ba1a0bc26, actor_7d658d02-7744-46e2-8018-5ccae1ce3718, actor_c9f9d94f-1c1d-4b3a-9898-7097497bc451",tt6867948,https://loremflickr.com/640/480
ad amicitia thermae,1974,scheme,Tanya Keebler,9.3,"actor_4703f90f-ec24-4943-8d05-e864fcdea27f, actor_d1a07e59-fba2-499b-b404-42ee5becfc4b, actor_b7d8d40c-1181-4d2c-8861-78e7de2493a8",tt5216685,https://loremflickr.com/640/480
brevis harum una,2015,indication,Henry Bartell IV,1.6,"actor_18310f2d-78fe-475c-999d-fd7cb4d61f23, actor_14ca8b96-0d46-4126-80f3-f9eff01397c6, actor_193e96a8-ce01-40b4-bced-b892f5d330a5",tt1721747,https://loremflickr.com/640/480
alo vomica sit,1971,ashram,Mr. Dan Dach,1.6,"actor_6309e65a-4520-483d-94ab-b5d78b1c96dc, actor_567c9631-c6e0-4068-b451-51b5cdd0d3c4, actor_1d7167ad-6701-4eee-9a46-6c07201e06df",tt5095093,https://loremflickr.com/640/480
defungo pecco suscipit,1963,thunderstorm,Kelvin Lind,5.7,"actor_a80b8713-3058-44bf-ab4b-89812a5aadd4, actor_97452092-8de2-4464-b055-34ddcf885c1d, actor_f2923ecc-cd3b-474d-bd9d-428b9436ecfe",tt5847913,https://loremflickr.com/640/480
tutis utroque facilis,2012,clogs,Reginald Okuneva,5.6,"actor_25740ec1-8a0c-46e7-816a-0cc1ffd93da3, actor_c138c5b7-1c46-42b8-868a-2b9e2df32c6b, actor_e73ca000-8f6e-4088-8eec-8151201ba7b2",tt3325174,https://loremflickr.com/640/480
